,State_ab,City,Zip_Code,Area_Code,Lat,Lon,Mean,Median,Stdev,Households,Mean-Binned,Median-Binned,MeanLow,MeanMedium,MeanHigh,MedianLow,MedianMedium,MedianHigh
4224,IL,Aurora,60506,630,41.785961,-88.42399,1.6303155372898783,0.6822128725474714,175997.189931402+0i,644,MeanMedium,MedianMedium,0,1,0,0,1,0
4225,IL,Princeton,61356,815,41.380882,-89.464766,0.5968029243332267,-0.15593672668435307,135724.785903592+0i,3604,MeanMedium,MedianMedium,0,1,0,0,1,0
4226,IL,Prophetstown,61277,815,41.670325,-89.935153,-0.09620890682509659,-0.41940490659419377,96907.646841772+0i,839,MeanMedium,MedianMedium,0,1,0,0,1,0
4227,IL,Mounds,62964,618,37.220853000000005,-89.206564,-0.5487543547546253,-1.0287512284923284,108328.663195741+0i,79,MeanMedium,MedianLow,0,1,0,1,0,0
4228,IL,Ashley,62808,618,38.279825,-89.192125,-0.21097323024032016,-0.42713861154482713,90515.7567469605+0i,76,MeanMedium,MedianMedium,0,1,0,0,1,0
4229,IL,Ramsey,62080,618,39.144244,-89.110493,-0.5159270959369815,-0.654512023815297,88508.2922682968+0i,457,MeanMedium,MedianLow,0,1,0,1,0,0
4230,IL,Ransom,60470,815,41.158561999999996,-88.654186,0.07980886377605072,-0.33807666852008955,106453.364005473+0i,146,MeanMedium,MedianMedium,0,1,0,0,1,0
4231,IL,Leclaire,52753,563,41.578737,-90.339373,0.6311752164442413,0.24172739781099545,113856.48961463+0i,403,MeanMedium,MedianMedium,0,1,0,0,1,0
4232,IL,Raymond,62560,217,39.319744,-89.57507700000001,0.321821361120847,-0.2909408558708113,124674.437630812+0i,361,MeanMedium,MedianMedium,0,1,0,0,1,0
4233,IL,Reddick,60961,815,41.098275,-88.248675,0.18539579616461727,2.2807398451811984,108894.44643022+0i,98,MeanMedium,MedianHigh,0,1,0,0,0,1
4234,IL,Kansas,61933,217,39.644830999999996,-87.86145,-0.12605194979961332,-0.3742957722519143,91322.8662436177+0i,61,MeanMedium,MedianMedium,0,1,0,0,1,0
